Air1,,Benzene,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
268.4900818,-0.0002663366904,268.4900818,0.01254955679,
268.0185547,-0.0004165642604,268.0185547,0.01773017831,
267.5076904,-0.0003116587468,267.5076904,0.02555865981,
266.9968567,-3.691182064E-005,266.9968567,0.03467750549,
266.4859619,-0.0002796337358,266.4859619,0.037087515,
266.0143433,-0.0001642412972,266.0143433,0.02670491301,
265.503418,-0.0002157835843,265.503418,0.01724163815,
264.9924622,-0.0003213847813,264.9924622,0.01359497476,
264.4814758,-0.0003874953545,264.4814758,0.01475128066,
264.0097351,-0.0003782880667,264.0097351,0.01975042373,
263.4986572,-0.0002633875119,263.4986572,0.02630872279,
262.9876099,-0.0003603902005,262.9876099,0.03638343886,
262.5158386,-0.0004321841116,262.5158386,0.04879775643,
262.0047302,-0.0004024438385,262.0047302,0.07849446684,
261.4935608,-0.0003451298689,261.4935608,0.1341291368,
260.9823914,-0.0002517457178,260.9823914,0.1910355985,
260.510498,-0.000138778385,260.510498,0.2414634824,
259.9992676,-0.0003394911764,259.9992676,0.2883188725,
259.4880066,-0.0002742011275,259.4880066,0.3209924102,
259.0160522,-0.000464249606,259.0160522,0.2916528881,
258.5047607,-0.0002587825584,258.5047607,0.1750570238,
257.9934387,-6.43995154E-005,257.9934387,0.0806837976,
257.4820557,-0.0003140385379,257.4820557,0.06158623099,
257.0100098,-0.0002271158592,257.0100098,0.07638638467,
256.4985962,-0.0003034328402,256.4985962,0.1053852737,
255.9871674,-0.0001452477591,255.9871674,0.1467075646,
255.5150452,-0.0002232867264,255.5150452,0.193465054,
255.0035706,-0.000213765481,255.0035706,0.2551490664,
254.4920807,-0.0002417076757,254.4920807,0.3428233862,
253.9805298,-0.0002595069527,253.9805298,0.4407259226,
253.508316,-0.0002020706161,253.508316,0.5027456284,
252.9967194,-0.0004300635483,252.9967194,0.4471625984,
252.4851074,-0.0002880152897,252.4851074,0.3246261179,
252.0128479,-0.0002549537166,252.0128479,0.1990415603,
251.5011749,-0.0002569198841,251.5011749,0.130319491,
250.9894867,-0.0003103653726,250.9894867,0.1268835664,
250.5171356,-0.0002569198841,250.5171356,0.1450362504,
250.0054016,-0.0002291856508,250.0054016,0.1735571027,
249.4936371,-0.0001528556313,249.4936371,0.210811913,
248.981842,-0.0003118139575,248.981842,0.2578499615,
248.5094147,-0.0003848055785,248.5094147,0.3151735961,
247.9976044,-0.0002515387605,247.9976044,0.3824199736,
247.4857178,-0.0002320833446,247.4857178,0.4494659901,
247.0132141,-0.0003456471895,247.0132141,0.4634222388,
246.5012817,-0.0002261844493,246.5012817,0.3760190606,
245.9893494,-0.0002199232695,245.9893494,0.2380680293,
245.5167847,-0.0003060713643,245.5167847,0.1514431685,
245.0048065,-0.0001870634878,245.0048065,0.1382919401,
244.4928131,-0.0002971210342,244.4928131,0.1525740474,
243.9807739,-4.426274973E-005,243.9807739,0.1849309057,
243.5080872,1.413396876E-005,243.5080872,0.2130222321,
242.9959869,-0.0001127963988,242.9959869,0.2463819087,
242.4839172,-0.0002614730911,242.4839172,0.2778484821,
